image_id,box
000000000908,"[0.23529411764705882, 0.4215686274509804, 0.477124183006536, 0.5555555555555556]; [0.3235294117647059, 0.7401960784313726, 0.46568627450980393, 0.8627450980392157]; [0.21241830065359477, 0.7352941176470589, 0.4624183006535948, 0.8856209150326797]"
000000000955,"[0.2708333333333333, 0.0640625, 0.4625, 0.1796875]; [0.6479166666666667, 0.60625, 0.81875, 0.646875]; [0.6395833333333333, 0.5734375, 0.7875, 0.6140625]; [0.052083333333333336, 0.1765625, 0.17291666666666666, 0.2125]; [0.6604166666666667, 0.6921875, 0.7395833333333334, 0.7453125]; [0.3458333333333333, 0.29375, 0.42083333333333334, 0.3359375]; [0.25833333333333336, 0.246875, 0.34791666666666665, 0.2984375]"
000000000965,"[0.01875, 0.9375, 0.15, 0.9916666666666667]"
000000001014,"[0.4109375, 0.6208333333333333, 0.5203125, 0.7083333333333334]"
000000001090,"[0.6433408577878104, 0.7796875, 0.7855530474040632, 0.8109375]; [0.08126410835214447, 0.9421875, 0.37020316027088035, 0.975]; [0.045146726862302484, 0.9328125, 0.36794582392776526, 0.98125]"
000000001144,"[0.275, 0, 0.4015625, 0.058333333333333334]"
000000001168,"[0.1359375, 0.10306406685236769, 0.2640625, 0.2479108635097493]"
000000001216,"[0.840625, 0.25517241379310346, 0.890625, 0.2942528735632184]"
000000001224,"[0.9484375, 0.48711943793911006, 0.9984375, 0.5620608899297423]"
000000001232,"[0.3578125, 0.3714902807775378, 0.49375, 0.44924406047516197]"
000000001264,"[0.828125, 0.5791666666666667, 0.8984375, 0.6395833333333333]; [0.828125, 0.5791666666666667, 0.8984375, 0.6395833333333333]; [0.828125, 0.5791666666666667, 0.8984375, 0.6395833333333333]"
000000001298,"[0.421875, 0.4766355140186916, 0.478125, 0.5350467289719626]"
000000001311,"[0.3421875, 0.3070539419087137, 0.6703125, 0.4149377593360996]"
000000001315,"[0.5958333333333333, 0.85625, 0.73125, 0.9015625]; [0.6104166666666667, 0.8421875, 0.7145833333333333, 0.8640625]; [0.8375, 0.325, 0.9145833333333333, 0.3703125]"
000000001375,"[0.478125, 0.1985981308411215, 0.628125, 0.2523364485981308]; [0.4671875, 0.02570093457943925, 0.625, 0.13551401869158877]"
000000001386,"[0.7203125, 0.26458333333333334, 0.903125, 0.3854166666666667]; [0.4578125, 0.51875, 0.58125, 0.5625]; [0.4578125, 0.51875, 0.58125, 0.5625]; [0.4453125, 0.14166666666666666, 0.615625, 0.25416666666666665]; [0.13125, 0.6270833333333333, 0.2640625, 0.69375]; [0.0015625, 0.08958333333333333, 0.0671875, 0.16875]"
000000001397,"[0.0375, 0.8337236533957846, 0.9859375, 0.9508196721311475]"
000000001401,"[0.17231638418079095, 0.942, 0.748587570621469, 0.974]; [0.05367231638418079, 0.876, 0.8757062146892656, 0.918]; [0.22033898305084745, 0.418, 0.4689265536723164, 0.508]; [0.07627118644067797, 0.91, 0.8870056497175142, 0.946]"
000000001408,"[0.403125, 0.49065420560747663, 0.46875, 0.5397196261682243]; [0.465625, 0.5, 0.5578125, 0.5467289719626168]"
000000001431,"[0.465625, 0.37616822429906543, 0.5578125, 0.4766355140186916]"
000000001472,"[0.20625, 0.31533477321814257, 0.74375, 0.5140388768898488]; [0.428125, 0.7019438444924406, 0.6875, 0.9546436285097192]; [0.728125, 0.3952483801295896, 0.8234375, 0.48812095032397407]"
000000001523,"[0.6578125, 0.37916666666666665, 0.9296875, 0.4875]; [0.4203125, 0.3625, 0.546875, 0.45]; [0.1828125, 0.4041666666666667, 0.346875, 0.4625]; [0.425, 0.47291666666666665, 0.475, 0.5020833333333333]; [0.4328125, 0.4479166666666667, 0.4703125, 0.47708333333333336]; [0.3, 0.6333333333333333, 0.3703125, 0.6666666666666666]"
000000001536,"[0.384375, 0.020833333333333332, 0.4265625, 0.07291666666666667]"
000000001569,"[0.262, 0.4388059701492537, 0.364, 0.5373134328358209]; [0.234, 0.3940298507462687, 0.364, 0.5014925373134328]"
000000001586,"[0.440625, 0.72, 0.4921875, 0.7694117647058824]; [0.4390625, 0.7482352941176471, 0.4953125, 0.7858823529411765]"
000000001611,"[0.478125, 0.702576112412178, 0.709375, 0.7517564402810304]"
000000001674,"[0.6703125, 0.36875, 0.7234375, 0.41041666666666665]; [0.3328125, 0.3333333333333333, 0.390625, 0.4]; [0.340625, 0.70625, 0.4078125, 0.7770833333333333]; [0.2109375, 0.45208333333333334, 0.6734375, 0.5229166666666667]; [0.6828125, 0.5479166666666667, 0.7296875, 0.5895833333333333]; [0.3578125, 0.7479166666666667, 0.4, 0.7916666666666666]; [0.6609375, 0.45416666666666666, 0.7421875, 0.5083333333333333]; [0.709375, 0.5104166666666666, 0.765625, 0.5604166666666667]; [0.6515625, 0.5375, 0.70625, 0.5875]; [0.259375, 0.5958333333333333, 0.3234375, 0.66875]; [0.309375, 0.5666666666666667, 0.3625, 0.6229166666666667]; [0.371875, 0.6708333333333333, 0.421875, 0.7229166666666667]; [0.3484375, 0.6875, 0.3953125, 0.7416666666666667]; [0.3109375, 0.70625, 0.4109375, 0.76875]; [0.6125, 0.4125, 0.721875, 0.49166666666666664]; [0.3234375, 0.7208333333333333, 0.38125, 0.7770833333333333]; [0.6984375, 0.4895833333333333, 0.7515625, 0.54375]; [0.21875, 0.41875, 0.2953125, 0.5166666666666667]; [0.6359375, 0.4875, 0.7265625, 0.5354166666666667]; [0.2765625, 0.6333333333333333, 0.4046875, 0.6979166666666666]; [0.259375, 0.5625, 0.3703125, 0.6645833333333333]; [0.33125, 0.5875, 0.3828125, 0.6395833333333333]; [0.6609375, 0.3958333333333333, 0.7375, 0.46458333333333335]; [0.3125, 0.68125, 0.40625, 0.7645833333333333]; [0.290625, 0.6604166666666667, 0.353125, 0.7125]; [0.3171875, 0.6208333333333333, 0.3578125, 0.6708333333333333]; [0.375, 0.30416666666666664, 0.4234375, 0.3645833333333333]; [0.38125, 0.35208333333333336, 0.4796875, 0.41875]; [0.64375, 0.49583333333333335, 0.7625, 0.5833333333333334]; [0.3671875, 0.2791666666666667, 0.45, 0.36875]; [0.378125, 0.73125, 0.484375, 0.8604166666666667]"
000000001688,"[0.1328125, 0.8734375, 0.2765625, 0.9578125]"
000000001697,"[0.342, 0.824, 0.522, 0.936]; [0.794, 0.41333333333333333, 0.914, 0.568]; [0.702, 0.7866666666666666, 0.89, 0.9386666666666666]"
000000001712,"[0.3703125, 0.4988235294117647, 0.4046875, 0.5294117647058824]"
000000001720,"[0.5015625, 0.27230046948356806, 0.7875, 0.36384976525821594]; [0.8171875, 0.6408450704225352, 0.853125, 0.6784037558685446]"
000000001762,"[0.9479166666666666, 0.734375, 0.9979166666666667, 0.759375]; [0.36875, 0.39375, 0.4083333333333333, 0.4171875]"
000000001764,"[0.862, 0.18133333333333335, 0.984, 0.23466666666666666]; [0.078, 0.14133333333333334, 0.758, 0.18933333333333333]; [0.072, 0.12, 0.302, 0.16]"
000000001771,"[0.8296875, 0.9156908665105387, 0.99375, 0.9812646370023419]; [0.853125, 0.9461358313817331, 0.9734375, 0.9859484777517564]"
000000001774,"[0.909375, 0.9386792452830188, 0.9828125, 0.9716981132075472]"
000000001804,"[0.1421875, 0.7895833333333333, 0.2265625, 0.8895833333333333]; [0.1828125, 0.7583333333333333, 0.271875, 0.8770833333333333]; [0.209375, 0.85625, 0.2671875, 0.9270833333333334]; [0.125, 0.7, 0.278125, 0.8854166666666666]; [0.121875, 0.8145833333333333, 0.2078125, 0.9291666666666667]; [0.1421875, 0.70625, 0.2109375, 0.8]"
000000001811,"[0.80625, 0.95, 0.9921875, 0.990625]"
000000001815,"[0.15602836879432624, 0.4796875, 0.23581560283687944, 0.546875]"
000000001875,"[0.7315010570824524, 0.196875, 0.9830866807610994, 0.240625]"
000000001877,"[0.9546875, 0.6895833333333333, 1, 0.7208333333333333]; [0.521875, 0.60625, 0.5765625, 0.65625]; [0.565625, 0.6125, 0.621875, 0.6625]; [0.565625, 0.6125, 0.621875, 0.6625]; [0.1390625, 0.5854166666666667, 0.1796875, 0.61875]"
000000001915,"[0.1078125, 0.852112676056338, 0.2140625, 0.9788732394366197]"
000000001924,"[0.6671875, 0.4724264705882353, 0.7640625, 0.5275735294117647]; [0.653125, 0.34558823529411764, 0.778125, 0.4209558823529412]"
000000001926,"[0.578125, 0.27291666666666664, 0.6328125, 0.31875]"
000000001966,"[0.9125, 0, 1, 0.075]"
000000001997,"[0.184375, 0.42857142857142855, 0.38125, 0.5526932084309133]; [0.2859375, 0.18969555035128804, 0.7640625, 0.39344262295081966]; [0.45625, 0.3091334894613583, 0.6, 0.4028103044496487]; [0, 0.44730679156908665, 0.075, 0.5644028103044496]; [0.5640625, 0.24121779859484777, 0.759375, 0.39344262295081966]"
000000002007,"[0.75625, 0.6020833333333333, 0.9265625, 0.66875]; [0.571875, 0.4083333333333333, 0.628125, 0.45208333333333334]; [0.1046875, 0.2791666666666667, 0.209375, 0.3416666666666667]; [0.1046875, 0.2791666666666667, 0.209375, 0.3416666666666667]; [0.821875, 0.6520833333333333, 0.9625, 0.7125]; [0.0125, 0.40208333333333335, 0.1703125, 0.44166666666666665]; [0.0125, 0.4791666666666667, 0.125, 0.5104166666666666]; [0.0125, 0.3770833333333333, 0.2203125, 0.4166666666666667]; [0.0140625, 0.45208333333333334, 0.221875, 0.5]; [0.0671875, 0.5208333333333334, 0.1796875, 0.58125]; [0.015625, 0.33958333333333335, 0.871875, 0.38958333333333334]; [0.1484375, 0.3645833333333333, 0.2140625, 0.39791666666666664]"
000000002089,"[0.1609375, 0.6753246753246753, 0.215625, 0.7164502164502164]"
000000002093,"[0.046875, 0.0125, 0.2296875, 0.04375]"
000000002209,"[0.216, 0.23076923076923078, 0.41, 0.5384615384615384]"
000000002211,"[0.9390625, 0.7170626349892009, 1, 0.7818574514038877]; [0.559375, 0.7105831533477321, 0.79375, 0.8293736501079914]; [0.3875, 0.7170626349892009, 0.65, 0.8272138228941684]; [0.23125, 0.7213822894168467, 0.35, 0.8358531317494601]; [0.3765625, 0.4406047516198704, 0.4390625, 0.4946004319654428]"
000000002258,"[0.428125, 0.37083333333333335, 0.509375, 0.43333333333333335]"
000000002278,"[0.7981220657276995, 0.9671875, 0.9906103286384976, 0.9953125]"
000000002280,"[0.2328125, 0.3159420289855073, 0.3140625, 0.4057971014492754]; [0.1953125, 0.2956521739130435, 0.2328125, 0.3391304347826087]; [0.284375, 0.34492753623188405, 0.3125, 0.3884057971014493]"
000000002296,"[0.8738317757009346, 0.5515625, 0.9766355140186916, 0.6078125]"
000000002337,"[0.47147147147147145, 0.862, 0.7447447447447447, 1]"
000000002374,"[0.6734375, 0.3729166666666667, 0.91875, 0.42916666666666664]; [0.7546875, 0.8416666666666667, 0.821875, 0.8770833333333333]; [0.6484375, 0.8666666666666667, 0.9125, 0.9208333333333333]; [0.703125, 0.7541666666666667, 0.8859375, 0.8645833333333334]; [0.6515625, 0.7291666666666666, 0.7171875, 0.8]; [0.6578125, 0.8604166666666667, 0.7890625, 0.9104166666666667]"
000000002415,"[0.08125, 0.25625, 0.15625, 0.29375]"
000000002444,"[0, 0.2810304449648712, 0.0546875, 0.3231850117096019]"
000000002446,"[0.5328125, 0.3911007025761124, 0.634375, 0.4426229508196721]; [0.5328125, 0.3911007025761124, 0.634375, 0.4426229508196721]"
000000002466,"[0.734375, 0.6361111111111111, 0.7953125, 0.7138888888888889]; [0.7375, 0.5861111111111111, 0.80625, 0.6722222222222223]"
000000002471,"[0.18087318087318088, 0.628125, 0.2661122661122661, 0.6703125]; [0.14345114345114346, 0.5859375, 0.2910602910602911, 0.659375]; [0.19334719334719336, 0.659375, 0.26195426195426197, 0.696875]"
000000002531,"[0.2529274004683841, 0.2609375, 0.351288056206089, 0.2984375]"
000000002560,"[0.4624413145539906, 0.3046875, 0.6126760563380281, 0.3546875]"
000000002567,"[0.38875878220140514, 0.0203125, 0.5409836065573771, 0.075]; [0.24355971896955503, 0.003125, 0.3372365339578454, 0.0484375]"
000000002575,"[0.6171875, 0.0117096018735363, 0.8953125, 0.08665105386416862]"
000000002623,"[0.0671875, 0.9508196721311475, 0.178125, 0.9953161592505855]"
000000002639,"[0.4171875, 0.925531914893617, 0.575, 0.9707446808510638]"
000000002644,"[0.071875, 0.48758465011286684, 0.715625, 0.5688487584650113]; [0.5109375, 0.49435665914221216, 0.56875, 0.5395033860045146]; [0.5109375, 0.49435665914221216, 0.56875, 0.5395033860045146]; [0.509375, 0.4672686230248307, 0.56875, 0.5056433408577878]; [0.609375, 0.7832957110609481, 0.796875, 0.8239277652370203]"
000000002645,"[0.7421875, 0.6895833333333333, 0.8140625, 0.7791666666666667]; [0.54375, 0.20416666666666666, 0.6265625, 0.2875]; [0.1484375, 0.3458333333333333, 0.2203125, 0.42291666666666666]"
000000002658,"[0.7828125, 0.38927738927738925, 0.8609375, 0.46386946386946387]; [0.8078125, 0.5291375291375291, 0.8765625, 0.5897435897435898]; [0.109375, 0.47785547785547783, 0.171875, 0.5384615384615384]; [0.1015625, 0.3752913752913753, 0.1671875, 0.42657342657342656]; [0.815625, 0.585081585081585, 0.9015625, 0.6456876456876457]; [0.828125, 0.6480186480186481, 0.8921875, 0.6993006993006993]"
000000002755,"[0.698, 0.16835016835016836, 0.766, 0.2255892255892256]; [0.34, 0.36363636363636365, 0.84, 0.46464646464646464]"
000000002823,"[0.8578125, 0.27676240208877284, 0.9390625, 0.34464751958224543]"
000000002842,"[0.528125, 0.5979166666666667, 0.6953125, 0.6520833333333333]; [0.528125, 0.5979166666666667, 0.6953125, 0.6520833333333333]"
000000002886,"[0.040625, 0.24896265560165975, 0.125, 0.31742738589211617]; [0.0640625, 0.33195020746887965, 0.11875, 0.37136929460580914]; [0.0578125, 0.3070539419087137, 0.121875, 0.35269709543568467]; [0.0484375, 0.2800829875518672, 0.1359375, 0.33195020746887965]"
000000002902,"[0.515625, 0.34660421545667447, 0.6015625, 0.45433255269320844]"
000000002931,"[0.25, 0.5487804878048781, 0.34, 0.6361788617886179]"
000000002951,"[0.24375, 0.130859375, 0.6546875, 0.4140625]; [0.35, 0.6796875, 0.5109375, 0.75390625]; [0.4640625, 0.326171875, 0.675, 0.54296875]; [0.3515625, 0.59375, 0.440625, 0.66796875]; [0.35625, 0.755859375, 0.503125, 0.833984375]; [0.303125, 0.412109375, 0.4984375, 0.501953125]; [0.340625, 0.828125, 0.4984375, 0.91796875]; [0.29375, 0.361328125, 0.5265625, 0.439453125]; [0.2734375, 0.384765625, 0.3546875, 0.44140625]; [0.4578125, 0.35546875, 0.528125, 0.423828125]"
000000002964,"[0.3796875, 0.6919060052219321, 0.4875, 0.7885117493472585]; [0.3796875, 0.5378590078328982, 0.4609375, 0.6344647519582245]; [0.3828125, 0.618798955613577, 0.503125, 0.7101827676240209]; [0.225, 0.4281984334203655, 0.36875, 0.5274151436031331]"
000000002982,"[0.238562091503268, 0.3300653594771242, 0.28431372549019607, 0.3709150326797386]"
000000002998,"[0.4578125, 0.38444924406047515, 0.80625, 0.42764578833693306]; [0.4578125, 0.38444924406047515, 0.80625, 0.42764578833693306]; [0.628125, 0.4146868250539957, 0.8078125, 0.46220302375809935]; [0.803125, 0.12742980561555076, 0.921875, 0.20302375809935205]; [0.6265625, 0.3369330453563715, 0.7234375, 0.38444924406047515]; [0.740625, 0.36285097192224625, 0.8078125, 0.4060475161987041]; [0.70625, 0.23542116630669546, 0.8609375, 0.28725701943844495]; [0.765625, 0.3347732181425486, 0.803125, 0.367170626349892]; [0.59375, 0.572354211663067, 0.63125, 0.6133909287257019]; [0.534375, 0.531317494600432, 0.63125, 0.5809935205183585]; [0.6796875, 0.7537796976241901, 0.7515625, 0.8336933045356372]"
000000003003,"[0.6015625, 0.6314553990610329, 0.66875, 0.6924882629107981]"
000000003077,"[0.004395604395604396, 0.2796875, 0.16483516483516483, 0.3265625]; [0.8307692307692308, 0.4015625, 0.9076923076923077, 0.428125]; [0.23516483516483516, 0.4140625, 0.3142857142857143, 0.4421875]; [0.5010989010989011, 0.390625, 0.5802197802197803, 0.4171875]"
000000003080,"[0.6768867924528302, 0.4609375, 0.8490566037735849, 0.528125]; [0.6438679245283019, 0.2890625, 0.8490566037735849, 0.35]; [0.7358490566037735, 0.6453125, 0.8466981132075472, 0.6953125]"
000000003148,"[0.33, 0.056, 0.57, 0.2826666666666667]; [0.542, 0, 0.74, 0.168]; [0.054, 0.29333333333333333, 0.256, 0.3626666666666667]; [0.712, 0, 0.848, 0.072]"
000000003157,"[0.475, 0.07728337236533958, 1, 0.35362997658079626]"
000000003160,"[0, 0.22950819672131148, 0.0453125, 0.27400468384074944]"
000000003178,"[0.8890625, 0.963882618510158, 0.9875, 0.9954853273137697]"
000000003220,"[0.65, 0.18958333333333333, 0.728125, 0.25416666666666665]"
000000003270,"[0.86875, 0.6270833333333333, 0.9625, 0.7020833333333333]"
000000003272,"[0.259375, 0.8438228438228438, 0.4453125, 0.916083916083916]; [0.4234375, 0.7715617715617715, 0.4671875, 0.8251748251748252]"
000000003286,"[0.2033195020746888, 0.0171875, 0.6556016597510373, 0.1796875]"
000000003314,"[0.3671875, 0.6813725490196079, 0.484375, 0.7867647058823529]"
000000003348,"[0.35947712418300654, 0.7859477124183006, 0.45588235294117646, 0.8529411764705882]; [0.3872549019607843, 0.5555555555555556, 0.5964052287581699, 0.630718954248366]; [0.23366013071895425, 0.8137254901960784, 0.3300653594771242, 0.8709150326797386]; [0.41013071895424835, 0.6045751633986928, 0.5686274509803921, 0.6683006535947712]; [0.30392156862745096, 0.6748366013071896, 0.5098039215686274, 0.7941176470588235]; [0.44607843137254904, 0.7516339869281046, 0.5849673202614379, 0.8218954248366013]"
000000003361,"[0.568, 0.7602040816326531, 0.718, 0.8852040816326531]; [0.662, 0.8214285714285714, 0.726, 0.8775510204081632]; [0.536, 0.7602040816326531, 0.626, 0.8341836734693877]"
000000003375,"[0.059375, 0.34976525821596244, 0.0984375, 0.4014084507042254]"
000000003389,"[0.78125, 0.9375, 0.9953125, 0.982421875]"
000000003483,"[0.79375, 0.04771784232365145, 0.9953125, 0.22821576763485477]; [0.2421875, 0.2012448132780083, 0.690625, 0.3236514522821577]"
000000003493,"[0.6988950276243094, 0.424, 0.9834254143646409, 0.482]; [0.19613259668508287, 0.272, 0.45027624309392267, 0.304]; [0.23756906077348067, 0.182, 0.40331491712707185, 0.214]; [0.3287292817679558, 0.384, 0.9613259668508287, 0.434]; [0.19337016574585636, 0.206, 0.45027624309392267, 0.238]; [0.3342541436464088, 0.472, 0.9585635359116023, 0.524]; [0.04419889502762431, 0.446, 0.6270718232044199, 0.484]; [0.356353591160221, 0.534, 0.8839779005524862, 0.576]; [0.20441988950276244, 0.236, 0.45027624309392267, 0.274]"
000000003521,"[0.55625, 0.0546875, 0.6916666666666667, 0.0890625]"
000000003535,"[0.3578125, 0.28958333333333336, 0.4703125, 0.33541666666666664]; [0.353125, 0.2, 0.48125, 0.25416666666666665]; [0.3515625, 0.24791666666666667, 0.4734375, 0.29583333333333334]"
000000003602,"[0.4296875, 0.26823529411764707, 0.59375, 0.3458823529411765]; [0.428125, 0.21411764705882352, 0.596875, 0.2917647058823529]; [0.4171875, 0.33647058823529413, 0.603125, 0.38823529411764707]; [0.3953125, 0.06352941176470588, 0.6328125, 0.1952941176470588]; [0.2859375, 0.41411764705882353, 0.359375, 0.45176470588235296]"
000000003692,"[0.4393305439330544, 0.321875, 0.7531380753138075, 0.4171875]; [0.604602510460251, 0.3078125, 0.7343096234309623, 0.365625]"
000000003751,"[0.5520833333333334, 0.6875, 0.7958333333333333, 0.865625]"
000000003770,"[0.5930232558139535, 0.0359375, 0.6356589147286822, 0.05625]"
000000003782,"[0.6125, 0.37083333333333335, 0.7015625, 0.43125]"
000000003804,"[0.54375, 0.05134474327628362, 0.6, 0.13202933985330073]"
000000003812,"[0.16285714285714287, 0.41201716738197425, 0.7028571428571428, 0.8369098712446352]"
000000003870,"[0.859375, 0.07708333333333334, 0.9234375, 0.1375]; [0.8578125, 0.125, 0.915625, 0.17708333333333334]"
000000003897,"[0.2890625, 0.40208333333333335, 0.3453125, 0.45]; [0.76875, 0.7333333333333333, 0.796875, 0.76875]"
000000003941,"[0.2828125, 0.275, 0.7765625, 0.7520833333333333]"
000000003967,"[0.5105386416861827, 0.9390625, 0.9859484777517564, 0.99375]; [0.02576112412177986, 0.1015625, 0.14285714285714285, 0.14375]"
000000003988,"[0.6418219461697723, 0, 0.9958592132505176, 0.05625]; [0.6418219461697723, 0, 0.9958592132505176, 0.05625]"
000000003992,"[0.465625, 0.2708333333333333, 0.5359375, 0.35625]"
000000004080,"[0.4148471615720524, 0.1703125, 0.5131004366812227, 0.196875]; [0.2816593886462882, 0.15625, 0.40829694323144106, 0.2046875]; [0.4039301310043668, 0.153125, 0.5327510917030568, 0.178125]; [0.28602620087336245, 0.0859375, 0.5698689956331878, 0.1484375]; [0.2925764192139738, 0.05, 0.5655021834061136, 0.0984375]; [0.2314410480349345, 0, 0.5851528384279476, 0.075]"
000000004130,"[0.1953125, 0.47368421052631576, 0.815625, 0.5346260387811634]; [0.9015625, 0.3628808864265928, 0.9375, 0.40443213296398894]; [0.640625, 0.3518005540166205, 0.68125, 0.40166204986149584]"
000000004131,"[0.3837837837837838, 0.3734375, 0.4648648648648649, 0.415625]; [0.47297297297297297, 0.303125, 0.5648648648648649, 0.34375]"
000000004138,"[0.1890625, 0.43523316062176165, 0.3765625, 0.5414507772020726]"
000000004172,"[0.1984375, 0.7283372365339579, 0.771875, 0.8220140515222483]; [0.1640625, 0.65807962529274, 0.3515625, 0.7377049180327869]; [0.203125, 0.8220140515222483, 0.4, 0.882903981264637]; [0.3984375, 0.4449648711943794, 0.440625, 0.48711943793911006]"
000000004201,"[0.35, 0.053864168618266976, 0.5109375, 0.12412177985948478]; [0.3671875, 0.10304449648711944, 0.4890625, 0.14988290398126464]; [0.1015625, 0.12177985948477751, 0.1390625, 0.16627634660421545]; [0.4859375, 0.47306791569086654, 0.515625, 0.5035128805620609]"
000000004245,"[0.29375, 0.3375, 0.6421875, 0.5708333333333333]; [0.3796875, 0.5625, 0.5234375, 0.6208333333333333]"
000000004259,"[0.0484375, 0.00437636761487965, 0.146875, 0.12035010940919037]"
000000004289,"[0.5771028037383178, 0.7875, 0.852803738317757, 0.840625]; [0.5560747663551402, 0.6734375, 0.7686915887850467, 0.7546875]"
000000004308,"[0.02564102564102564, 0.25625, 0.42657342657342656, 0.4421875]; [0.04895104895104895, 0.509375, 0.13752913752913754, 0.559375]; [0.30303030303030304, 0.3609375, 0.3752913752913753, 0.4109375]; [0.030303030303030304, 0.3625, 0.4125874125874126, 0.54375]; [0.06993006993006994, 0.4546875, 0.27505827505827507, 0.55625]"
000000004322,"[0.5609375, 0.46458333333333335, 0.690625, 0.5395833333333333]"
000000004331,"[0.453125, 0.13541666666666666, 0.5640625, 0.22708333333333333]"
000000004377,"[0, 0.3537234042553192, 0.0671875, 0.4308510638297872]"
000000004424,"[0.3881278538812785, 0.7703125, 0.4840182648401826, 0.83125]; [0.7146118721461188, 0.5625, 0.7853881278538812, 0.59375]; [0.3264840182648402, 0.815625, 0.3995433789954338, 0.8578125]"
000000004471,"[0.1388235294117647, 0.509375, 0.25176470588235295, 0.5625]"
